시도,시군구,월,발생건수,사망자수,부상자수,중상,경상,부상신고
서울,종로구,01월,103,0,133,23,90,20
서울,종로구,02월,84,1,111,20,77,14
서울,종로구,03월,101,0,149,34,91,24
서울,종로구,04월,93,0,114,27,78,9
서울,종로구,05월,102,1,143,24,96,23
서울,종로구,06월,96,1,123,32,84,7
서울,종로구,07월,89,0,128,28,83,17
서울,종로구,08월,90,0,127,29,85,13
서울,종로구,09월,91,1,133,24,96,13
서울,종로구,10월,113,0,166,30,109,27
서울,종로구,11월,75,1,100,22,69,9
서울,종로구,12월,97,1,119,27,81,11
서울,중구,01월,104,1,143,38,88,17
서울,중구,02월,95,2,116,29,74,13
서울,중구,03월,106,1,141,41,85,15
서울,중구,04월,84,1,130,27,82,21
서울,중구,05월,105,1,134,43,76,15
서울,중구,06월,103,0,129,33,87,9
서울,중구,07월,80,0,116,34,72,10
서울,중구,08월,85,1,117,28,77,12
서울,중구,09월,77,0,93,28,57,8
서울,중구,10월,102,0,128,33,86,9
서울,중구,11월,93,1,131,21,90,20
서울,중구,12월,94,1,128,25,88,15
서울,용산구,01월,100,3,140,31,103,6
서울,용산구,02월,104,1,149,33,108,8
서울,용산구,03월,102,0,160,37,109,14
서울,용산구,04월,123,0,162,37,114,11
서울,용산구,05월,134,2,182,42,134,6
서울,용산구,06월,105,3,142,29,102,11
서울,용산구,07월,114,1,145,28,108,9
서울,용산구,08월,118,1,169,37,122,10
서울,용산구,09월,102,1,137,27,101,9
서울,용산구,10월,125,1,185,41,136,8
서울,용산구,11월,100,0,132,39,88,5
서울,용산구,12월,103,1,149,24,118,7
서울,성동구,01월,81,3,110,21,81,8
서울,성동구,02월,91,0,122,24,87,11
서울,성동구,03월,99,2,144,32,106,6
서울,성동구,04월,88,0,113,27,79,7
서울,성동구,05월,112,0,166,32,111,23
서울,성동구,06월,92,1,124,28,90,6
서울,성동구,07월,103,1,135,27,93,15
서울,성동구,08월,91,0,129,22,101,6
서울,성동구,09월,94,1,121,27,91,3
서울,성동구,10월,113,0,157,30,114,13
서울,성동구,11월,104,1,134,35,94,5
서울,성동구,12월,75,0,106,21,79,6
서울,동대문구,01월,142,0,185,52,125,8
서울,동대문구,02월,131,1,162,48,102,12
서울,동대문구,03월,128,3,163,45,109,9
서울,동대문구,04월,135,2,166,47,100,19
서울,동대문구,05월,150,0,205,62,127,16
서울,동대문구,06월,146,1,184,47,121,16
서울,동대문구,07월,152,0,182,52,120,10
서울,동대문구,08월,135,0,185,46,124,15
서울,동대문구,09월,148,2,175,51,108,16
서울,동대문구,10월,151,2,184,48,120,16
서울,동대문구,11월,133,2,181,53,118,10
서울,동대문구,12월,148,1,188,46,134,8
서울,성북구,01월,147,0,194,49,136,9
서울,성북구,02월,116,2,168,40,116,12
서울,성북구,03월,117,1,160,41,109,10
서울,성북구,04월,109,1,178,40,132,6
서울,성북구,05월,139,0,210,47,157,6
서울,성북구,06월,108,2,152,27,113,12
서울,성북구,07월,107,0,142,36,93,13
서울,성북구,08월,105,2,161,35,115,11
서울,성북구,09월,117,1,152,32,110,10
서울,성북구,10월,131,3,162,29,122,11
서울,성북구,11월,104,0,128,26,90,12
서울,성북구,12월,127,2,173,40,118,15
서울,도봉구,01월,67,0,84,25,54,5
서울,도봉구,02월,61,1,76,14,54,8
서울,도봉구,03월,53,0,59,19,33,7
서울,도봉구,04월,63,0,84,25,45,14
서울,도봉구,05월,86,1,102,24,69,9
서울,도봉구,06월,78,1,90,24,55,11
서울,도봉구,07월,76,1,93,29,55,9
서울,도봉구,08월,77,0,102,28,64,10
서울,도봉구,09월,69,0,90,22,49,19
서울,도봉구,10월,82,2,109,32,60,17
서울,도봉구,11월,53,0,89,19,65,5
서울,도봉구,12월,59,0,83,20,56,7
서울,은평구,01월,79,1,106,27,72,7
서울,은평구,02월,81,1,146,26,96,24
서울,은평구,03월,73,1,104,29,67,8
서울,은평구,04월,92,1,119,21,89,9
서울,은평구,05월,90,0,123,22,89,12
서울,은평구,06월,102,0,133,37,86,10
서울,은평구,07월,101,1,138,36,93,9
서울,은평구,08월,107,1,149,29,101,19
서울,은평구,09월,112,3,135,27,94,14
서울,은평구,10월,102,1,136,34,91,11
서울,은평구,11월,94,0,126,38,78,10
서울,은평구,12월,101,2,165,41,108,16
서울,서대문구,01월,71,0,106,26,62,18
서울,서대문구,02월,79,1,110,33,64,13
서울,서대문구,03월,83,0,101,29,59,13
서울,서대문구,04월,101,2,137,33,82,22
